"ZipCode","PlaceName","State","County","Lat","Long"
"34034","APO","AA","Dillon","33.0364","-82.249300000000005"
"99546","Adak","AK","Aleutians West (CA)","51.880000000000003","-176.65809999999999"
"99551","Akiachak","AK","Bethel Census Area","60.909399999999998","-161.4314"
"99552","Akiak","AK","Bethel Census Area","60.912199999999999","-161.2139"
"99553","Akutan","AK","Aleutians East","54.143000000000001","-165.78540000000001"
"99554","Alakanuk","AK","Kusilvak","62.694400000000002","-164.64750000000001"
"99555","Aleknagik","AK","Dillingham (CA)","59.2697","-158.6199"
"99720","Allakaket","AK","Yukon-Koyukuk (CA)","66.543199999999999","-152.7122"
"99786","Ambler","AK","Northwest Arctic","67.086100000000002","-157.85140000000001"
"99721","Anaktuvuk Pass","AK","North Slope","68.143299999999996","-151.73580000000001"
"99556","Anchor Point","AK","Kenai Peninsula","59.8371","-151.70779999999999"
"99508","Anchorage","AK","Anchorage Municipality","61.206000000000003","-149.81010000000001"
"99507","Anchorage","AK","Anchorage Municipality","61.153500000000001","-149.8289"
"99509","Anchorage","AK","Anchorage Municipality","61.2181","-149.90029999999999"
"99511","Anchorage","AK","Anchorage Municipality","61.068300000000001","-149.8005"
"99510","Anchorage","AK","Anchorage Municipality","61.144599999999997","-149.8784"
"99501","Anchorage","AK","Anchorage Municipality","61.211599999999997","-149.87610000000001"
"99599","Anchorage","AK","Anchorage Municipality","61.187199999999997","-149.88040000000001"
"99502","Anchorage","AK","Anchorage Municipality","61.1661","-149.96000000000001"
"99504","Anchorage","AK","Anchorage Municipality","61.203699999999998","-149.74469999999999"
"99503","Anchorage","AK","Anchorage Municipality","61.189999999999998","-149.8938"
"99513","Anchorage","AK","Anchorage Municipality","61.2149","-149.8862"
"99522","Anchorage","AK","Anchorage Municipality","61.2181","-149.90029999999999"
"99521","Anchorage","AK","Anchorage Municipality","61.2181","-149.90029999999999"
"99520","Anchorage","AK","Anchorage Municipality","61.2181","-149.90029999999999"
"99530","Anchorage","AK","Anchorage Municipality","61.151499999999999","-149.9443"
"99529","Anchorage","AK","Anchorage Municipality","61.151499999999999","-149.9443"
"99524","Anchorage","AK","Anchorage Municipality","61.2181","-149.90029999999999"
"99516","Anchorage","AK","Anchorage Municipality","61.105400000000003","-149.78"
"99515","Anchorage","AK","Anchorage Municipality","61.119399999999999","-149.8974"
"99514","Anchorage","AK","Anchorage Municipality","61.2181","-149.90029999999999"
"99519","Anchorage","AK","Anchorage Municipality","61.108899999999998","-149.44030000000001"
"99518","Anchorage","AK","Anchorage Municipality","61.154899999999998","-149.88659999999999"
"99517","Anchorage","AK","Anchorage Municipality","61.190100000000001","-149.93610000000001"
"99523","Anchorage","AK","Anchorage Municipality","61.2181","-149.90029999999999"
"99695","Anchorage","AK","Anchorage Municipality","61.108899999999998","-149.44030000000001"
"99744","Anderson","AK","Denali","64.344200000000001","-149.18690000000001"
"99820","Angoon","AK","Skagway-Hoonah-Angoon","57.500500000000002","-134.58600000000001"
"99557","Aniak","AK","Bethel Census Area","61.578299999999999","-159.5222"
"99558","Anvik","AK","Yukon-Koyukuk (CA)","62.656100000000002","-160.20670000000001"
"99722","Arctic Village","AK","Yukon-Koyukuk (CA)","68.126900000000006","-145.5378"
"99547","Atka","AK","Aleutians West (CA)","52.122399999999999","-174.43010000000001"
"99791","Atqasuk","AK","North Slope","70.494699999999995","-157.44110000000001"
"99821","Auke Bay","AK","Juneau City and Borough","58.449399999999997","-134.7003"
"99723","Barrow","AK","North Slope","71.2346","-156.81739999999999"
"99724","Beaver","AK","Yukon-Koyukuk (CA)","66.359399999999994","-147.3964"
"99559","Bethel","AK","Bethel Census Area","60.792200000000001","-161.75579999999999"
"99726","Bettles Field","AK","Yukon-Koyukuk (CA)","65.226399999999998","-151.02510000000001"
"99652","Big Lake","AK","Matanuska-Susitna Borough","61.523000000000003","-149.72880000000001"
"99785","Brevig Mission","AK","Nome (CA)","65.334199999999996","-166.4786"
"99727","Buckland","AK","Northwest Arctic","65.978899999999996","-161.12620000000001"
"99729","Cantwell","AK","Denali","63.395499999999998","-148.8973"
"99730","Central","AK","Yukon-Koyukuk (CA)","65.468100000000007","-144.74889999999999"
"99788","Chalkyitsik","AK","Yukon-Koyukuk (CA)","66.654399999999995","-143.72219999999999"
"99561","Chefornak","AK","Bethel Census Area","60.153700000000001","-164.21029999999999"
"99563","Chevak","AK","Kusilvak","61.529000000000003","-165.59049999999999"
"99732","Chicken","AK","Southeast Fairbanks Census Area","64.073300000000003","-141.93610000000001"
"99564","Chignik","AK","Lake and Peninsula","56.301600000000001","-158.41569999999999"
"99565","Chignik Lagoon","AK","Lake and Peninsula","58.268700000000003","-156.64840000000001"
"99548","Chignik Lake","AK","Lake and Peninsula","56.244799999999998","-158.7578"
"99566","Chitina","AK","Valdez-Cordova (CA)","61.470999999999997","-144.99100000000001"
"99567","Chugiak","AK","Anchorage Municipality","61.409799999999997","-149.4537"
"99733","Circle","AK","Yukon-Koyukuk (CA)","65.8245","-144.08260000000001"
"99568","Clam Gulch","AK","Kenai Peninsula","60.231099999999998","-151.39359999999999"
"99569","Clarks Point","AK","Dillingham (CA)","58.817300000000003","-158.5299"
"99704","Clear","AK","Denali","64.296599999999998","-149.16079999999999"
"99918","Coffman Cove","AK","Prince of Wales-Hyder","55.952399999999997","-132.75030000000001"
"99571","Cold Bay","AK","Aleutians East","55.1858","-162.72110000000001"
"99572","Cooper Landing","AK","Kenai Peninsula","60.476700000000001","-149.8235"
"99573","Copper Center","AK","Valdez-Cordova (CA)","61.976999999999997","-145.3297"
"99574","Cordova","AK","Valdez-Cordova (CA)","60.536200000000001","-145.7534"
"99921","Craig","AK","Prince of Wales-Hyder","55.473199999999999","-133.11709999999999"
"99575","Crooked Creek","AK","Bethel Census Area","61.818100000000001","-158.0025"
"99736","Deering","AK","Northwest Arctic","66.073700000000002","-162.714"
"99737","Delta Junction","AK","Southeast Fairbanks Census Area","64.037800000000004","-145.73220000000001"
"99755","Denali National Park","AK","Denali","63.543599999999998","-149.98670000000001"
"99576","Dillingham","AK","Dillingham (CA)","59.040199999999999","-158.5231"
"99824","Douglas","AK","Juneau City and Borough","58.275599999999997","-134.39500000000001"
"99692","Dutch Harbor","AK","Aleutians West (CA)","53.889800000000001","-166.54220000000001"
"99738","Eagle","AK","Southeast Fairbanks Census Area","64.7881","-141.19999999999999"
"99577","Eagle River","AK","Anchorage Municipality","61.311399999999999","-149.5085"
"99578","Eek","AK","Bethel Census Area","60.2151","-162.03229999999999"
"99579","Egegik","AK","Lake and Peninsula","58.206200000000003","-157.34219999999999"
"99702","Eielson Afb","AK","Fairbanks North Star","64.673500000000004","-147.0805"
"99580","Ekwok","AK","Dillingham (CA)","59.3628","-157.47819999999999"
"99825","Elfin Cove","AK","Skagway-Hoonah-Angoon","58.194400000000002","-136.3433"
"99739","Elim","AK","Nome (CA)","64.621700000000004","-162.2604"
"99581","Emmonak","AK","Kusilvak","62.781799999999997","-164.5335"
"99725","Ester","AK","Fairbanks North Star","64.870999999999995","-148.0949"
"99712","Fairbanks","AK","Fairbanks North Star","64.910899999999998","-147.51050000000001"
"99790","Fairbanks","AK","Fairbanks North Star","64.837800000000001","-147.71639999999999"
"99711","Fairbanks","AK","Fairbanks North Star","64.837800000000001","-147.71639999999999"
"99707","Fairbanks","AK","Fairbanks North Star","64.837800000000001","-147.71639999999999"
"99775","Fairbanks","AK","Fairbanks North Star","64.859099999999998","-147.82669999999999"
